DateTime;BTC;ETH;USDT;BNB;SOL;Others
05.05.2013;1254762149,46;0,00;0,00;0,00;0,00;80617818,54
12.05.2013;1288631442,20;0,00;0,00;0,00;0,00;74918509,80
19.05.2013;1376371582,99;0,00;0,00;0,00;0,00;72448385,01
26.05.2013;1478025338,35;0,00;0,00;0,00;0,00;70654597,65
02.06.2013;1451925896,77;0,00;0,00;0,00;0,00;59084151,23
09.06.2013;1215132962,06;0,00;0,00;0,00;0,00;56547037,94
16.06.2013;1127123769,47;0,00;0,00;0,00;0,00;53126214,53
23.06.2013;1224978150,45;0,00;0,00;0,00;0,00;63751833,55
30.06.2013;1078255281,06;0,00;0,00;0,00;0,00;61514702,94
07.07.2013;782351595,18;0,00;0,00;0,00;0,00;62558420,82
14.07.2013;1126255795,18;0,00;0,00;0,00;0,00;63964236,82
21.07.2013;1027641924,55;0,00;0,00;0,00;0,00;62368059,45
28.07.2013;1082751497,50;0,00;0,00;0,00;0,00;67108470,50
04.08.2013;1207095508,65;0,00;0,00;0,00;0,00;73944491,35
11.08.2013;1188153836,99;0,00;0,00;0,00;0,00;100076179,01
18.08.2013;1304320187,50;0,00;0,00;0,00;0,00;118079812,50
25.08.2013;1387634726,85;0,00;0,00;0,00;0,00;114395225,15
01.09.2013;1572228888,40;0,00;0,00;0,00;0,00;113921127,60
08.09.2013;1448178129,21;0,00;0,00;0,00;0,00;120611886,79
15.09.2013;1514144913,58;0,00;0,00;0,00;0,00;119015022,42
22.09.2013;1500263577,97;0,00;0,00;0,00;0,00;144496486,03
29.09.2013;1587290660,68;0,00;0,00;0,00;0,00;187129307,32
06.10.2013;1514538901,20;0,00;0,00;0,00;0,00;146111082,80
13.10.2013;1599426159,38;0,00;0,00;0,00;0,00;134753808,62
20.10.2013;2037436874,97;0,00;0,00;0,00;0,00;131273013,03
27.10.2013;2102727707,67;0,00;0,00;0,00;0,00;120962276,33
03.11.2013;2459515515,84;0,00;0,00;0,00;0,00;141304452,16
10.11.2013;4174930742,16;0,00;0,00;0,00;0,00;219789513,84
17.11.2013;5291729353,46;0,00;0,00;0,00;0,00;201330742,54
24.11.2013;9570991362,24;0,00;0,00;0,00;0,00;450608893,76
01.12.2013;13614267715,96;0,00;0,00;0,00;0,00;1773432508,04
08.12.2013;8431855057,73;0,00;0,00;0,00;0,00;994564654,27
15.12.2013;10611621813,11;0,00;0,00;0,00;0,00;1357278282,89
22.12.2013;7315945127,67;0,00;0,00;0,00;0,00;804295000,33
29.12.2013;8872599591,24;0,00;0,00;0,00;0,00;1227100120,76
05.01.2014;10465659959,95;0,00;0,00;0,00;0,00;1416439752,05
12.01.2014;11264846810,93;0,00;0,00;0,00;0,00;1338053669,07
19.01.2014;10311486283,20;0,00;0,00;0,00;0,00;1256914100,80
26.01.2014;10510401359,83;0,00;0,00;0,00;0,00;1246998704,17
02.02.2014;10279152361,30;0,00;0,00;0,00;0,00;1245648150,70
09.02.2014;8307336964,85;0,00;0,00;0,00;0,00;974612731,15
16.02.2014;8077341036,11;0,00;0,00;0,00;0,00;1015438995,89
23.02.2014;7539892425,52;0,00;0,00;0,00;0,00;916707638,48
02.03.2014;7069287981,34;0,00;0,00;0,00;0,00;991821778,66
09.03.2014;7697912170,26;0,00;0,00;0,00;0,00;1139147413,74
16.03.2014;7968200287,50;0,00;0,00;0,00;0,00;1105910176,50
23.03.2014;7099236203,98;0,00;0,00;0,00;0,00;1062163604,02
30.03.2014;6193557126,83;0,00;0,00;0,00;0,00;744693113,17
06.04.2014;5843663675,26;0,00;0,00;0,00;0,00;640366276,74
13.04.2014;5326230585,36;0,00;0,00;0,00;0,00;561879494,64
20.04.2014;6356071183,25;0,00;0,00;0,00;0,00;745688816,75
27.04.2014;5805536630,79;0,00;0,00;0,00;0,00;583553161,21
04.05.2014;5580025865,31;0,00;0,00;0,00;0,00;558154230,69
11.05.2014;5789009426,83;0,00;0,00;0,00;0,00;622880749,17
18.05.2014;5735392705,27;0,00;0,00;0,00;0,00;609047102,73
25.05.2014;6729114876,78;0,00;0,00;0,00;0,00;671134979,22
01.06.2014;8007458710,01;0,00;0,00;0,00;0,00;674471017,99
08.06.2014;8428526959,35;0,00;0,00;0,00;0,00;686222992,65
15.06.2014;7427193646,00;0,00;0,00;0,00;0,00;642986194,00
22.06.2014;7703559805,12;0,00;0,00;0,00;0,00;642110338,88
29.06.2014;7728192402,62;0,00;0,00;0,00;0,00;606027373,38
06.07.2014;8203530646,50;0,00;0,00;0,00;0,00;536109673,50
13.07.2014;8252247431,78;0,00;0,00;0,00;0,00;575112824,22
20.07.2014;8196201372,71;0,00;0,00;0,00;0,00;588388451,29
27.07.2014;7782822949,41;0,00;0,00;0,00;0,00;549807066,59
03.08.2014;7710426679,40;0,00;0,00;0,00;0,00;554303432,60
10.08.2014;7730001925,06;0,00;0,00;0,00;0,00;507678202,94
17.08.2014;6826523803,16;0,00;0,00;0,00;0,00;398626148,84
24.08.2014;6567295886,83;0,00;0,00;0,00;0,00;424594033,17
31.08.2014;6642636070,65;0,00;0,00;0,00;0,00;557374169,35
07.09.2014;6421462127,86;0,00;0,00;0,00;0,00;567777680,14
14.09.2014;6355135250,74;0,00;0,00;0,00;0,00;610424557,26
21.09.2014;5425181057,69;0,00;0,00;0,00;0,00;567438974,31
28.09.2014;5321416704,52;0,00;0,00;0,00;0,00;580563455,48
05.10.2014;4389880123,19;0,00;0,00;0,00;0,00;528329924,81
12.10.2014;4849070088,40;0,00;0,00;0,00;0,00;532579831,60
19.10.2014;5242374417,86;0,00;0,00;0,00;0,00;550685422,14
26.10.2014;4665035342,66;0,00;0,00;0,00;0,00;492344753,34
02.11.2014;4386504161,98;0,00;0,00;0,00;0,00;453445662,02
09.11.2014;4655480675,44;0,00;0,00;0,00;0,00;490489500,56
16.11.2014;5060641297,85;0,00;0,00;0,00;0,00;504748526,15
23.11.2014;4778445706,71;0,00;0,00;0,00;0,00;568484469,29
30.11.2014;5090058612,54;0,00;0,00;0,00;0,00;805691531,46
07.12.2014;5090242007,32;0,00;0,00;0,00;0,00;827328040,68
14.12.2014;4717276441,31;0,00;0,00;0,00;0,00;885113574,69
21.12.2014;4491321812,35;0,00;0,00;0,00;0,00;1230188075,65
28.12.2014;4317327930,80;0,00;0,00;0,00;0,00;1205942213,20
04.01.2015;3847139735,00;0,00;0,00;0,00;0,00;1022340201,00
11.01.2015;3764964780,31;0,00;0,00;0,00;0,00;910455379,69
18.01.2015;2747723029,43;0,00;0,00;0,00;0,00;741546986,57
25.01.2015;3403308907,94;0,00;0,00;0,00;0,00;812101012,06
01.02.2015;2989456971,01;0,00;0,00;0,00;0,00;704113076,99
08.02.2015;3144923027,51;0,00;0,00;0,00;0,00;717287020,49
15.02.2015;3563295380,39;0,00;0,00;0,00;0,00;750334827,61
22.02.2015;3390509039,99;0,00;0,00;0,00;0,00;680290832,01
01.03.2015;3532057898,05;0,00;0,00;0,00;0,00;686712021,95
08.03.2015;3846742946,74;0,00;251600,00;0,00;0,00;609055629,26
15.03.2015;3923339798,58;0,00;251600,00;0,00;0,00;622378777,42
22.03.2015;3629914535,07;0,00;251600,00;0,00;0,00;585183880,93
29.03.2015;3536559217,42;0,00;251600,00;0,00;0,00;540579262,58
05.04.2015;3557453026,58;0,00;251600,00;0,00;0,00;530905421,42
12.04.2015;3321740501,71;0,00;251600,00;0,00;0,00;486738010,29
19.04.2015;3143459666,99;0,00;251600,00;0,00;0,00;467628765,01
26.04.2015;3190796972,61;0,00;251600,00;0,00;0,00;478231427,39
03.05.2015;3315974388,48;0,00;251600,00;0,00;0,00;466614075,52
10.05.2015;3418729921,40;0,00;251600,00;0,00;0,00;453398382,60
17.05.2015;3343946251,62;0,00;251600,00;0,00;0,00;431612196,38
24.05.2015;3391917865,07;0,00;451600,00;0,00;0,00;478250438,93
31.05.2015;3314789801,02;0,00;451600,00;0,00;0,00;540708678,98
