DateTime;Fear & greed index
29.06.2023;59,13
30.06.2023;59,09
01.07.2023;60,47
02.07.2023;60,78
03.07.2023;60,87
04.07.2023;60,95
05.07.2023;62,75
06.07.2023;59,14
07.07.2023;59,12
08.07.2023;55,81
09.07.2023;57,48
10.07.2023;57,14
11.07.2023;56,32
12.07.2023;57,36
13.07.2023;57,86
14.07.2023;63,21
15.07.2023;58,37
16.07.2023;57,95
17.07.2023;57,46
18.07.2023;57,46
19.07.2023;55,40
20.07.2023;55,59
21.07.2023;54,94
22.07.2023;55,45
23.07.2023;54,44
24.07.2023;55,56
25.07.2023;51,74
26.07.2023;51,97
27.07.2023;52,29
28.07.2023;51,47
29.07.2023;51,82
30.07.2023;52,11
31.07.2023;51,71
01.08.2023;51,46
02.08.2023;53,30
03.08.2023;50,89
04.08.2023;50,78
05.08.2023;50,01
06.08.2023;49,88
07.08.2023;49,68
08.08.2023;50,11
09.08.2023;52,87
10.08.2023;51,97
11.08.2023;51,13
12.08.2023;50,70
13.08.2023;50,51
14.08.2023;49,87
15.08.2023;50,46
16.08.2023;49,04
17.08.2023;46,84
18.08.2023;37,22
19.08.2023;33,94
20.08.2023;34,12
21.08.2023;34,72
22.08.2023;34,07
23.08.2023;33,53
24.08.2023;35,37
25.08.2023;34,25
26.08.2023;34,04
27.08.2023;34,15
28.08.2023;34,83
29.08.2023;34,96
30.08.2023;41,87
31.08.2023;40,01
01.09.2023;34,74
02.09.2023;34,17
03.09.2023;34,64
04.09.2023;35,18
05.09.2023;34,94
06.09.2023;34,89
07.09.2023;34,66
08.09.2023;36,62
09.09.2023;35,43
10.09.2023;35,47
11.09.2023;34,98
12.09.2023;31,83
13.09.2023;34,48
14.09.2023;36,22
15.09.2023;37,75
16.09.2023;38,49
17.09.2023;38,41
18.09.2023;38,31
19.09.2023;39,49
20.09.2023;41,65
21.09.2023;41,64
22.09.2023;38,98
23.09.2023;39,35
24.09.2023;39,40
25.09.2023;38,15
26.09.2023;38,54
27.09.2023;38,10
28.09.2023;38,79
29.09.2023;41,60
30.09.2023;42,25
01.10.2023;42,16
02.10.2023;46,56
03.10.2023;44,13
04.10.2023;43,90
05.10.2023;45,24
06.10.2023;43,47
07.10.2023;45,87
08.10.2023;45,56
09.10.2023;45,18
10.10.2023;43,10
11.10.2023;41,97
12.10.2023;39,99
13.10.2023;39,44
14.10.2023;40,24
15.10.2023;40,35
16.10.2023;41,46
17.10.2023;47,27
18.10.2023;46,91
19.10.2023;46,76
20.10.2023;49,04
21.10.2023;52,91
22.10.2023;54,35
23.10.2023;55,04
24.10.2023;67,43
25.10.2023;70,60
26.10.2023;72,05
27.10.2023;71,44
28.10.2023;70,50
29.10.2023;70,60
30.10.2023;71,69
31.10.2023;71,86
01.11.2023;72,23
02.11.2023;74,09
03.11.2023;72,19
04.11.2023;71,53
