DateTime;BTC;ETH;Stablecoins;Others
29.04.2013;1491167008,97;0,00;0,00;92272991,03
06.05.2013;1289471476,32;0,00;0,00;81408523,68
13.05.2013;1279976295,25;0,00;0,00;75553688,75
20.05.2013;1368906875,00;0,00;0,00;76133125,00
27.05.2013;1495523737,50;0,00;0,00;77806310,50
03.06.2013;1376180312,50;0,00;0,00;60979623,50
10.06.2013;1131570787,33;0,00;0,00;60229276,67
17.06.2013;1128715172,24;0,00;0,00;47954779,76
24.06.2013;1222026948,69;0,00;0,00;69423035,31
01.07.2013;1107131002,00;0,00;0,00;65838982,00
08.07.2013;870912250,64;0,00;0,00;60974725,36
15.07.2013;1068522174,45;0,00;0,00;71437889,55
22.07.2013;1053002220,72;0,00;0,00;63537811,28
29.07.2013;1131339022,57;0,00;0,00;87981041,43
05.08.2013;1209521263,60;0,00;0,00;127598736,40
12.08.2013;1211791875,00;0,00;0,00;104368125,00
19.08.2013;1312158046,21;0,00;0,00;120271905,79
26.08.2013;1417199162,92;0,00;0,00;125010885,08
02.09.2013;1613597804,83;0,00;0,00;111452179,17
09.09.2013;1422176276,62;0,00;0,00;119533675,38
16.09.2013;1531820995,14;0,00;0,00;116819004,86
23.09.2013;1513944618,35;0,00;0,00;157555413,65
30.09.2013;1614348004,41;0,00;0,00;168391963,59
07.10.2013;1527762511,80;0,00;0,00;136877488,20
14.10.2013;1648465923,82;0,00;0,00;136244092,18
21.10.2013;2075575236,24;0,00;0,00;117114683,76
28.10.2013;2337096631,97;0,00;0,00;122223432,03
04.11.2013;2564065445,24;0,00;0,00;143214426,76
11.11.2013;3896133973,85;0,00;0,00;167265962,15
18.11.2013;5961504811,30;0,00;0,00;210515412,70
25.11.2013;9302271683,53;0,00;0,00;480208188,47
02.12.2013;11478311241,82;0,00;0,00;1655789238,18
09.12.2013;9602479382,33;0,00;0,00;1224721129,67
16.12.2013;10676620439,02;0,00;0,00;1378179944,98
23.12.2013;7455667854,31;0,00;0,00;803462001,69
30.12.2013;9037000601,14;0,00;0,00;1290099814,86
06.01.2014;11410379147,45;0,00;0,00;1465321076,55
13.01.2014;10541542460,92;0,00;0,00;1223557059,08
20.01.2014;10704830267,20;0,00;0,00;1298770116,80
27.01.2014;10894423689,32;0,00;0,00;1320376694,68
03.02.2014;10174133094,99;0,00;0,00;1242866841,01
10.02.2014;8431675750,64;0,00;0,00;1002704537,36
17.02.2014;7620582454,43;0,00;0,00;976867273,57
24.02.2014;7537076790,73;0,00;0,00;976022985,27
03.03.2014;7013055761,56;0,00;0,00;1012574446,44
10.03.2014;7950816297,53;0,00;0,00;1189514198,47
17.03.2014;7901042491,98;0,00;0,00;1093057732,02
24.03.2014;7061377145,25;0,00;0,00;1040132998,75
31.03.2014;5816914285,17;0,00;0,00;694185618,83
07.04.2014;5821162238,77;0,00;0,00;652197633,23
14.04.2014;5244345091,24;0,00;0,00;540924668,76
21.04.2014;6307454584,92;0,00;0,00;718735239,08
28.04.2014;5470650460,92;0,00;0,00;562969507,08
05.05.2014;5534139929,47;0,00;0,00;580049894,53
12.05.2014;5591520314,79;0,00;0,00;604019653,21
19.05.2014;5703762172,52;0,00;0,00;605487875,48
26.05.2014;7322873545,28;0,00;0,00;706786614,72
02.06.2014;8086619161,52;0,00;0,00;725081062,48
09.06.2014;8439072805,39;0,00;0,00;693156826,61
16.06.2014;7645644474,32;0,00;0,00;649885509,68
23.06.2014;7787154930,48;0,00;0,00;662915085,52
30.06.2014;7812042911,38;0,00;0,00;591446880,62
07.07.2014;8253713718,66;0,00;0,00;530036425,34
14.07.2014;8155149531,25;0,00;0,00;576850724,75
21.07.2014;8138524773,95;0,00;0,00;583974810,05
28.07.2014;7765045722,74;0,00;0,00;550594085,26
04.08.2014;7677845259,36;0,00;0,00;549384948,64
11.08.2014;7760291956,12;0,00;0,00;500737931,88
18.08.2014;6465209602,44;0,00;0,00;369540349,56
25.08.2014;6700098607,67;0,00;0,00;458881488,33
01.09.2014;6313124152,08;0,00;0,00;533025991,92
08.09.2014;6379403733,17;0,00;0,00;567576106,83
15.09.2014;6339090877,09;0,00;0,00;623169090,91
22.09.2014;5307361588,67;0,00;0,00;551838411,33
29.09.2014;5022364916,04;0,00;58011,80;577067120,16
06.10.2014;4277427570,23;0,00;57730,69;511084811,08
13.10.2014;5055283159,81;0,00;57145,06;541529839,13
20.10.2014;5216564953,13;0,00;55571,30;542139411,57
27.10.2014;4764013751,01;0,00;74716,46;493821292,53
